property_id,neighborhood,neighborhood_ar,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,furnishing,status,title_text,created_at,source_url,collection_date
A0160,Ar Rahmaniyyah,حي الرحمانية,Apartments,150000,115.0,2,3,Unfurnished,Rented out,2 Bedrooms Apartment in Al Rahmaniyyah,2025-07-27T08:04:48.538Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0079,Hittin,حي حطين,Apartments,75000,143.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Hittin,2025-02-13T08:06:08.080Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0158,Al Aqiq,حي العقيق,Apartments,90000,125.0,3,3,Unfurnished,Rented out,New Apartment in Al Aqiq - 3 Beds,2025-07-23T09:43:28.629Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0157,Al Aqiq,العقيق,Apartments,100000,125.0,3,3,Unfurnished,Rented out,New Furnished 3 Beds Apartment in Al Aqiq ,2025-07-23T09:25:30.510Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0147,As Sahafah,حي الصحافة,Duplex,220000,165.0,3,2,Fully furnished,Rented out,New Duplex in Al Sahafah,2025-07-01T08:25:27.233Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0146,As Sahafah,حي الصحافة,Apartments,145000,112.0,2,2,Fully furnished,Rented out,Furnished Apartment | 10th Floor Tower Living,2025-06-30T14:17:10.229Z,https://apiv2.satel.sa/property/filter,2026-09-11
V0031,Al Malaz,الملز,Floor,60000,312.0,2,2,Unfurnished,Rented out,2 Bedrooms in Al Malaz,2025-07-02T10:30:43.540Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0144,As Sahafah,الصحافة,Duplex,300000,188.0,3,4,Fully furnished,Rented out,Duplex in Al Sahafah,2025-06-29T14:30:15.803Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0141,Al Malqa,الملقا,Apartments,75000,110.0,3,3,Fully furnished,Rented out,3 Bedrooms Apartment in Al Malqa,2025-06-24T14:46:00.191Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0139,Al Mathar Ash Shamali,حي المعذر الشمالي,Apartments,110000,111.0,3,3,Unfurnished,Rented out,3 Beds Apartment in Al Ma’athar Al Shamali,2025-06-23T12:09:16.479Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0138,Ar Rahmaniyyah,الرحمانية,Apartments,70000,57.0,2,2,Fully furnished,Available,2 Beds | Serviced Apartments in Al Rahmaniyah,2025-06-18T14:45:40.961Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0206,Al-Aqiq,,Apartments,120000,106.0,2,3,Fully furnished,Rented out,2 Bedrooms Apartment in Al Aqiq,2026-02-11T10:27:38.895Z,https://apiv2.satel.sa/property/filter,2026-09-11
A0131,Al Aarid,العارض,Apartments,95000,100.0,3,3,Fully furnished,Rented out,3 Bedrooms Apartment in Al Arid,2025-05-26T17:40:02.494Z,https://apiv2.satel.sa/property/filter,2026-09-11
