property_id,neighborhood,neighborhood_ar,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,furnishing,status,title_text,created_at
V0021,Al Olaya,العليا,Villas,200000,190.0,4,3,Unfurnished,Rented out,Villa in Al Olaya,2024-12-19 16:19:44.733000+00:00
A0059,An Nafal,,Apartments,175000,140.0,2,3,Fully furnished,Rented out,Villa with 3 Beds in Al Nafal,2024-12-19 16:12:17.176000+00:00
A0056,Qurtubah,قرطبة,Apartments,90000,125.0,4,3,Fully furnished,Rented out,New 4 Beds Apartment in Qurtubah,2024-12-19 15:36:20.952000+00:00
A0055,Al Qirawan,القيروان,Floor,85000,135.0,2,2,Unfurnished,Rented out,Floor in Al Qirawan,2024-12-19 15:22:17.100000+00:00
V0017,Al Muruj,حي المروج,Villas,270000,312.0,5,9,Unfurnished,Rented out,Villa in Al Muruj,2024-12-19 14:38:02.942000+00:00
V0014,Al Malaz,الملز,Villas,190000,320.0,4,4,Unfurnished,Rented out,Villa in Al Malaz,2024-12-19 12:44:00.167000+00:00
A0047,Al Olaya,العليا,Apartments,65000,100.0,2,3,Unfurnished,Rented out,2 Bedrooms Apartment in Al Olaya,2024-12-19 12:22:06.741000+00:00
A0046,Al Malqa,حي الملقا,Apartments,125000,137.0,3,4,Unfurnished,Rented out,3 Bedrooms Apartment in Al Malqa,2024-12-19 11:52:15.745000+00:00
V0009,Al Olaya,العليا,Villas,250000,300.0,4,6,Unfurnished,Rented out,Villa in Al Olaya,2024-12-19 09:40:25.125000+00:00
A0038,Al Mathar Ash Shamali,,Apartments,105000,137.0,3,3,Partially furnished,Rented out,3 Bedrooms Apartment in Al Mathar Al Shamali,2024-12-19 07:05:54.909000+00:00
A0039,Al Mathar Ash Shamali,أم الحمام الشرقي,Apartments,90000,134.0,3,3,Unfurnished,Rented out,3 Bedrooms Apartment in Al Mathar Al Shamali,2024-12-19 06:46:33.754000+00:00
A0040,Hittin,حطين,Apartments,90000,115.0,3,3,Fully furnished,Rented out,3 Bedrooms Apartment in Hittin,2024-12-19 06:32:35.604000+00:00
V0004,Sedra,سدرة,Villas,90000,300.0,3,4,Unfurnished,Rented out,Villa in Sedra,2024-11-11 11:06:24.129000+00:00
A0020,An Nakheel,النخيل,Apartments,125000,135.0,3,4,Unfurnished,Rented out,Sun-Filled 3 Beds Apartment in Al Nakheel,2024-11-11 09:21:55.530000+00:00
A0029,Al Wurud,الورود,Apartments,90000,80.0,1,1,Fully furnished,Rented out,Furnished & Unfurnished Apartments in Al Wurud,2024-11-11 08:23:22.300000+00:00
C0083,Al Olaya,العليا,Apartments,70000,80.0,2,2,Partially furnished,Available,Unfurnished 4-Bedrooms Apartment  on Al Olaya – Satel,2026-07-25 11:30:36.836000+00:00
C0092,Al Olaya,العليا,Apartments,125000,120.0,2,2,Fully furnished,Available,2BR Furnished Apartment With Office in Al Olaya ,2026-08-24 11:15:04.032000+00:00
C0093,Al Olaya,العليا,Apartments,120000,120.0,3,3,Fully furnished,Available,3BR With Office Space Near To Kingdome Tower ,2026-08-24 12:16:33.243000+00:00
C0097,Alyasmin,الياسمين,Apartments,100000,110.0,3,3,Fully furnished,Available,3BR Fully Furnished Apartment in Al Yassmin ,2026-08-30 14:02:27.059000+00:00
C0100,Al Malaz,حي الملز,Apartments,65000,90.0,2,2,Partially furnished,Available,Spacious 3 Beds Apartment in Al Malaz,2026-09-09 12:38:45.811000+00:00
