property_id,neighborhood_ar,neighborhood_key,property_type,annual_rent_sar,area_sqm,bedrooms,bathrooms,living_rooms,furnished,ac,lift,maid_room,driver_room,pool,created_at,log_annual_rent,price_outlier_iqr,area_flag
6382436,العقيق,العقيق,Apartments,40000.0,100.0,1,1,1,0,0,0,0,0,0,2025-09-15 03:57:40+00:00,10.596634733096073,False,False
6463716,العارض,العارض,Apartments,35000.0,336.0,3,3,,0,1,0,0,0,0,2025-11-11 17:33:03+00:00,10.46310334047155,False,False
6394884,الفلاح,الفلاح,Apartments,34000.0,100.0,1,,,0,0,0,0,0,0,2025-09-23 12:49:43+00:00,10.4341158035983,False,False
6395449,النفل,النفل,Apartments,34000.0,100.0,1,,,0,0,0,0,0,0,2025-09-23 23:20:29+00:00,10.4341158035983,False,False
6341403,الروضه,الروضه,Apartments,73000.0,100.0,3,2,1,0,1,1,0,0,0,2025-08-20 08:19:54+00:00,11.198214720130528,False,False
6445220,الروضه,الروضه,Apartments,68000.0,100.0,3,,,0,0,0,0,0,0,2025-10-29 11:27:59+00:00,11.127262984158243,False,False
6434860,الوادي,الوادي,Apartments,26000.0,100.0,1,1,0,0,0,0,0,0,0,2025-10-21 23:12:16+00:00,10.165851817003619,False,False
6291935,العقيق,العقيق,Apartments,44000.0,100.0,1,1,1,0,1,1,0,0,0,2025-07-18 14:00:31+00:00,10.691944912900398,False,False
6459717,الملقا,الملقا,Apartments,29000.0,100.0,1,1,0,0,1,1,0,0,0,2025-11-09 10:18:02+00:00,10.275051108968611,False,False
6314552,الملقا,الملقا,Apartments,31000.0,100.0,1,1,0,0,1,1,0,0,0,2025-08-03 21:37:45+00:00,10.341742483467284,False,False
